# chapter	claim id	one-line claim as made in prose	source (URL or citation with page/section)	status
08	08-signing-open	The fetched incident-response and primary records do not establish whether M.E.Doc clients verified update signatures.	Cisco Talos, “The MeDoc Connection”; source-gap audit in resources/sources/08/SOURCES.md	checked-by:codex:2026-09-03
08	08-defense-thin	No fetched primary record establishes M.E.Doc's signing state, a later signing deployment or a measured outcome.	Source-gap audit in resources/sources/08/SOURCES.md; Cisco Talos, “The MeDoc Connection”	checked-by:codex:2026-09-03
08	08-pipeline-defense	OWASP's review, segregation and access-control defenses address Cisco's findings of modified code and configuration after credential theft.	OWASP A08:2025, How to prevent; Cisco Talos, “The MeDoc Connection,” Details and backdoor analysis	checked-by:codex:2026-09-03
08	08-ncsc-backups	NCSC recommends recent, separate offline backups and exercises assuming network and cloud backup systems are unusable.	UK NCSC, “Mitigating malware and ransomware attacks,” Actions 1 and 4, https://www.ncsc.gov.uk/guidance/mitigating-malware-and-ransomware-attacks	checked-by:codex:2026-09-03
08	08-ad-guidance	Microsoft recommends restoring a controller from backup in isolation and balancing backup recency against safety.	Microsoft Learn, “Determine how to recover the forest,” https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/forest-recovery-guide/ad-forest-recovery-determine-how-to-recover	checked-by:codex:2026-09-03
08	08-survivor-not-backup	The Ghana survivor is reported by Wired, while Ashton says Maersk's plans did not cover worldwide controller loss.	Wired, “The Untold Story of NotPetya”; Ashton, “Maersk, me & NotPetya,” “Finding our feet”	checked-by:codex:2026-09-03
08	08-maersk-aftermath	Maersk reports resilience and continuity initiatives but does not identify an offline-backup design or restoration test.	A.P. Moller–Maersk, Annual Report 2017, printed p.54	checked-by:codex:2026-09-03
08	08-continuity-defense	Maersk reports manual workarounds and vessel control during the disruption, cargo moving during a ten-day rebuild, and USD 250–300 million in losses.	Maersk, Key Statements Q2 2017 p.4; A View from the Other Side of a Crisis, p.4, “What we learned from the NotPetya Virus cyber-attack”; Annual Report 2017 pp.29, 54	checked-by:codex:2026-09-03
08	08-ledger-replicas	Wired's caveated account of synchronizing controllers agrees with Ashton's account of planning for site loss but not worldwide controller loss.	Wired, “The Untold Story of NotPetya”; Ashton, “Finding our feet”	checked-by:codex:2026-09-03
08	08-ledger-ghana	Ashton does not confirm Wired's Ghana and blackout details; an official Maersk recovery report identifying the survivor and outage would settle them.	Wired, “The Untold Story of NotPetya”; Ashton, “Finding our feet”; resources/sources/08/SOURCES.md	checked-by:codex:2026-09-03
08	08-ledger-updater	Cisco traced all NotPetya installations in its incident response through M.E.Doc's update system.	Cisco Talos, “The MeDoc Connection,” Summary	checked-by:codex:2026-09-03
08	08-ledger-signing	Cisco's report does not establish the M.E.Doc updater's signature-verification state; a period specification, binary or forensic report would settle it.	Cisco Talos, “The MeDoc Connection”; resources/sources/08/SOURCES.md	checked-by:codex:2026-09-03
08	08-ledger-ransomware	The indictment alleges the ransomware purpose was a ruse and files could not be recovered after payment.	United States v. Andrienko et al., indictment, ¶33	checked-by:codex:2026-09-03
08	08-ledger-days	Darknet Diaries' “about nine days” is compatible with Maersk's “just 10 days.”	Maersk, A View from the Other Side of a Crisis, p.4, “What we learned from the NotPetya Virus cyber-attack”; Darknet Diaries episode 54	checked-by:codex:2026-09-03
08	08-ledger-cost	Maersk reports approximately USD 250–300 million rather than USD 350 million.	A.P. Moller–Maersk, Annual Report 2017, printed pp.29, 54	checked-by:codex:2026-09-03
