# chapter	claim id	claim as made in prose	source	status
03	03-redhat-ubiquity	xz is present in nearly every Linux distribution	Red Hat blog, 29 Mar 2024, "What is xz?" — resources/sources/03/redhat-fedora-alert-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-preauth	Freund's perf trace shows the redirected RSA_public_decrypt being invoked during a pubkey login; "Since this is running in a pre-authentication context"	Freund §Impact on sshd — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-conditions	injected script proceeds only on x86-64 linux-gnu, gcc, GNU ld, and when building a Debian or RPM package; "likely aimed at making it harder to reproduce the issue for investigators"	Freund §Affected Systems — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-sshd-systemd	"openssh does not directly use liblzma. However debian and several other distributions patch openssh to support systemd notification, and libsystemd does depend on lzma."	Freund §Observing Impact on openssh server — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-freund-env	"Initially starting sshd outside of systemd did not show the slowdown"; observed requirements: TERM not set, argv[0] /usr/sbin/sshd, LD_DEBUG/LD_PROFILE not set, LANG set; symptoms seen on Debian sid	Freund §Observing Impact on openssh server, opening paragraph — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-payload-size	good-large_compressed.lzma added at 35,430 bytes in cf44e4b7	git show --stat cf44e4b7 — xz-git-history.txt	checked-by:fable:2026-09-02
03	03-review-no-fraud	Collin review notes: "While the commits weren't signed, I didn't spot any signs of committer fraud." (the chapter reads this as absence of detected fraud, not proof)	Collin, review notes §General — tukaani-review-notes-excerpts.txt	checked-by:fable:2026-09-02
03	03-review-autoreconf	the modified macro sits among generated .m4 files that autoreconf produces in a git checkout (review notes); Freund links line 63 of m4/build-to-host.m4 in Debian's salsa import of the tarball	Collin review notes §2024-02 (m4/.gitignore entry) — tukaani-review-notes-excerpts.txt; Freund §Compromised Release Tarball — freund-oss-security-2024-03-29.txt	checked-by:fable:2026-09-02
03	03-vagrant	Cascadian, 30 Mar 2024 02:38 UTC (Freund posted 29 Mar 15:51 UTC): asked by Philipp Kern to check Debian's buildd infrastructure; rebuilt 11 bookworm security updates and the unstable xz-utils update bit-for-bit identical; caveats in his own words: build machine "may have at some point run the vulnerable xz-utils code", "not absolutely cleanest of checks", "at least some sort of data point"	rb-general 2024-March/003321 — resources/sources/03/rb-general-2024-03-30-cascadian.txt	checked-by:fable:2026-09-02
03	03-malka-footnote	Malka (2025) footnote 5: "it only detects modifications of the tarball that have an impact on the final result ... without any modification we would not have discovered the backdoor. So yes, the title is a little bit catchy"	luj.fr blog, footnote 5 — resources/sources/03/retellings-quoted-sentences.txt	checked-by:fable:2026-09-02
03	03-malka-bootstrap	Malka: "at the point in the nixpkgs graph where the xz package is built, the GitHub source archive cannot be used and we have to rely on the maintainer provided tarball"	luj.fr blog, conclusion of the nixpkgs section — retellings-quoted-sentences.txt	checked-by:fable:2026-09-02
03	03-kpcyrd	kpcyrd, 3 Apr 2024: distributions "should operate on VCS snapshots instead of tarballs with 25k lines of pre-generated shell-script"; "Some packages have been actively converted to VCS snapshots by Arch Linux staff in response to the xz incident" (one distribution)	rb-general 2024-April/003337 — resources/sources/03/rb-general-2024-04-03-kpcyrd.txt	checked-by:fable:2026-09-02
03	03-josefsson	Josefsson, 13 Apr 2024: libntlm 1.8 publishes a signed minimal source-only tarball made with git-archive (one upstream project); "tarballs with files that are not included in the git archive offer an opportunity to disguise malicious backdoors"	blog.josefsson.org 2024/04/13 — resources/sources/03/josefsson-2024-04-13.txt	checked-by:fable:2026-09-02
03	03-openssh-systemd	Solar Designer, 17 Apr 2024: OpenSSH systemd notify without libsystemd committed (bug 2641) for 9.8; systemd libsystemd dlopen()s dependency libraries incl. compression (#32028, #31550)	oss-security 2024/04/16/5 — resources/sources/03/oss-security-2024-04-16-solar-designer.txt	checked-by:fable:2026-09-02
03	03-retelling-wordcheck	word-presence counts in the full retellings (2026-09-02): WIRED (2,676 words) has 0 occurrences of "tarball", "release", "signed", "Landlock", "sandbox"; Ars Technica has 1 "tarball" (states the distinction) and 0 "Landlock"/"sandbox"; Wikipedia article 0 "tarball", 0 "Landlock"	retellings-quoted-sentences.txt §Word-presence checks (curl, navigation stripped)	checked-by:fable:2026-09-02
