# chapter	claim id	one-line claim as made in prose	source (URL or citation with page/section)	status
09	09-doj-notice	Mulligan testified that Justice notified Target on December 12 and Target immediately began an internal investigation.	John J. Mulligan prepared Senate statement, pp. 2–4; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-existing-controls	Mulligan listed Target's existing security layers and testified to September 2013 PCI DSS certification before the breach.	John J. Mulligan prepared Senate statement, pp. 2–4; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-decision-path-open	The fetched record does not establish that Mulligan's unspecified evaluated activity was the reported FireEye alerts or show those alerts' disposition and follow-up.	Senate Commerce staff report, pp. 1, 4–5, 10; Mulligan prepared statement, p. 3; settling record would be Target SOC alert/case records or completed forensic report	checked-by:codex:2026-09-03
09	09-mechanism-target	Mulligan places unspecified evaluated activity before later external notification but does not connect it to the reported FireEye alerts.	John J. Mulligan prepared Senate statement, p. 3; Senate Commerce staff report, pp. 4–5, 10; https://www.commerce.senate.gov/services/files/C2103BD3-8C40-42C3-973B-BD08C7DE45EF	checked-by:codex:2026-09-03
09	09-category-fit	The Senate reconstruction spans Target's enterprise network and payment environment, wider than one web application's logging.	Senate Commerce staff report, pp. 4–12; https://www.commerce.senate.gov/wp-content/uploads/media/doc/2014%200325%20Target%20Kill%20Chain%20Analysis.pdf	checked-by:codex:2026-09-03
09	09-target-changes	Target announced more monitoring rules, alerts, central log feeds, logging, whitelisting, segmentation, and restricted vendor access.	Target, “Updates on Target’s security and technology enhancements,” Enhancing monitoring and logging and related sections; https://corporate.target.com/news-features/article/2014/04/updates-on-target-s-security-and-technology-enhanc	checked-by:codex:2026-09-03
09	09-equifax-blindness	The House report says an expired inspection certificate let encrypted ACIS traffic continue without analysis.	House Oversight staff report, pp. 48–49; https://oversight.house.gov/wp-content/uploads/2018/12/Equifax-Report.pdf	checked-by:codex:2026-09-03
09	09-equifax-restored	The House report says visibility was absent for nineteen months and suspicious traffic was found almost immediately after renewal on July 29, 2017.	House Oversight staff report, pp. 3, 48–49; https://oversight.house.gov/wp-content/uploads/2018/12/Equifax-Report.pdf	checked-by:codex:2026-09-03
09	09-equifax-counts	The House report's exact dates are over fifteen months apart and its discovery interval is nineteen months; GAO relays Equifax officials' conflicting ten-month claim; the House also records 324 expired certificates, including 79 on critical-domain monitors.	House Oversight staff report, pp. 48–49, 84; GAO-18-559, pp. 13–15; https://oversight.house.gov/wp-content/uploads/2018/12/Equifax-Report.pdf	checked-by:codex:2026-09-03
09	09-equifax-gao	GAO says logs aided reconstruction, reports Equifax remediation, and says it did not independently assess that remediation.	GAO-18-559, pp. 15–18; https://www.gao.gov/assets/gao-18-559.pdf	checked-by:codex:2026-09-03
09	09-ftc-record	The FTC complaint alleges control failures; the stipulated order requires asset, patch, legacy-control, and safeguard-testing measures.	FTC complaint ¶¶16–18 and stipulated order §II, pp. 14–18; https://www.ftc.gov/system/files/documents/cases/172_3203_equifax_order_signed_7-23-19.pdf	checked-by:codex:2026-09-03
09	09-dwell-trend	Mandiant reports median dwell time falling from 416 days in 2011 to 10 in 2023 within Mandiant Consulting investigations.	M-Trends 2024 infographic, When Are Attackers Found; executive edition, p. 2; https://services.google.com/fh/files/misc/mtrends_2024_infographic.pdf	checked-by:codex:2026-09-03
09	09-notification-mix	In Mandiant's 2023 cases, 54% were externally discovered; 70% of ransomware cases were external, mostly adversary notifications.	M-Trends 2024 Executive Edition, p. 2; https://services.google.com/fh/files/misc/m-trends-2024-executive-edition.pdf	checked-by:codex:2026-09-03
09	09-dwell-reversal	M-Trends 2026 reports dwell time rose from 11 days in 2024 to 14 in 2025 and attributes the rise largely to long-running case types.	M-Trends 2026 Executive Edition, pp. 2–3; https://services.google.com/fh/files/misc/m-trends-2026-executive-edition-en.pdf	checked-by:codex:2026-09-03
09	09-mtrends-practices	Mandiant documents red-team and tabletop exercises, centralized long-term logs, and alerts for unexpected logging termination.	M-Trends 2024 Executive Edition, p. 2; M-Trends 2026 Executive Edition, p. 8	checked-by:codex:2026-09-03
